recipe,ingredient,amount
1,520,100
1,2180,70
1,1081,20
1,1419,60
1,1684,3
1,1282,5
2,2180,280
2,1689,50
2,1419,15
2,1306,10
2,1684,2
3,1574,1000
3,1532,50
3,1646,50
3,556,1000
3,1240,300
3,1053,200
3,886,400
3,2055,15
4,1990,80
4,2180,140
4,872,30
4,1341,100
4,1777,55
4,1419,30
5,2180,140
5,1655,20
5,879,15
5,1341,80
5,1992,30
6,916,200
6,657,100
6,1341,180
6,1633,150
6,1788,100
6,886,60
6,2055,15
6,1684,20
6,1284,3
6,80,2
6,1419,30
7,1105,800
7,1915,50
7,1567,400
7,520,250
7,556,420
7,1053,150
7,886,300
7,1853,140
7,816,3
7,1546,12
7,1896,15
7,1283,30
7,1684,60
7,879,5
7,2055,20
7,1892,15
7,1305,15
7,1419,45
7,252,2500
8,279,500
8,520,260
8,1341,240
8,556,500
8,886,300
8,1306,30
8,1892,20
8,816,3
8,1247,24
8,1419,30
8,252,2500
9,1419,50
9,252,200
9,498,40
9,703,5
9,1546,200
9,1081,200
9,1669,10
9,1895,20
9,1684,3
10,855,500
10,47,500
10,252,2200
10,1546,200
10,1106,5
